scene_id,sowing date,date,min,max,average,std,variance,median
farm9,2022-11-18,2023-02-13,0.4499,0.8015,0.7684,0.0521,0.0027,0.7832
farm9,2022-11-18,2023-02-26,0.5028,0.7005,0.6768,0.0314,0.001,0.6898
farm9,2022-11-18,2023-03-08,0.4656,0.6913,0.657,0.0339,0.0011,0.6656
farm9,2022-11-18,2023-04-09,0.2097,0.4649,0.2568,0.0395,0.0016,0.2503
farm10,2020-11-05,2020-11-05,0.1042,0.3117,0.1929,0.0503,0.0025,0.215
farm10,2020-11-05,2020-11-13,0.0538,0.2546,0.1689,0.0632,0.004,0.193
farm10,2020-11-05,2020-11-28,0.1417,0.4043,0.2172,0.0713,0.0051,0.1806
farm10,2020-11-05,2020-12-08,0.1855,0.4421,0.2651,0.0625,0.0039,0.2357
farm10,2020-11-05,2020-12-20,0.237,0.5815,0.383,0.0843,0.0071,0.3579
farm10,2020-11-05,2021-02-01,0.5547,0.6419,0.6121,0.0182,0.0003,0.6136
farm10,2020-11-05,2021-02-11,0.5615,0.6516,0.6176,0.0199,0.0004,0.617
farm10,2020-11-05,2021-03-05,0.6503,0.7602,0.7131,0.0297,0.0009,0.713
farm10,2020-11-05,2021-03-15,0.4959,0.5744,0.5381,0.0205,0.0004,0.5385
farm10,2020-11-05,2021-03-28,0.3537,0.4372,0.401,0.0175,0.0003,0.4009
farm10,2020-11-05,2021-04-07,0.2469,0.3591,0.2984,0.0259,0.0007,0.2989
